Summary: {Weight} {token}: {words[0:10]}
0.2584197    1 read           : 既読
0.2073043    1 graduated      : 既卒
0.0307730    3 established    : 既定, 既設, 既成
0.0299896    2 settled        : 既済, 既決
0.0274652    1 irreducible    : 既約
0.0266526    1 previous       : 既報
0.0258148    2 accomplished   : 既遂, 既成
0.0226893    1 totality       : 皆既
0.0193614    1 aforesaid      : 既述
0.0173513    1 eclipse        : 皆既
0.0167072    1 learned        : 既習
0.0165216    1 decided        : 既決
0.0161252    1 determined     : 既決
0.0147696    1 announcement   : 既報
0.0143090    1 total          : 皆既
0.0140615    1 shelf          : 既製
0.0138742    1 successful     : 既遂
0.0137711    1 finished       : 既遂
0.0128822    1 fixed          : 既定
0.0128070    1 lunar          : 既望
0.0127267    1 report         : 既報
0.0127122    1 falling        : 既倒
0.0123649    1 calendar       : 既望
0.0122400    1 past           : 既往
0.0121587    1 crime          : 既遂
0.0121383    1 opposed        : 既遂
0.0120982    1 action         : 既遂
0.0116109    1 acquired       : 既得
0.0115864    1 shown          : 既出
0.0114806    1 month          : 既望
0.0111010    1 night          : 既望
0.0103105    1 accepted       : 既成
0.0101694    1 exam           : 既出
0.0093466    1 married        : 既婚
0.0092680    1 known          : 既知
0.0088975    1 late           : 既に
0.0081404    1 question       : 既出

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2584197    1 read
	read WORD[ 1,   1]: 0.2584197 既読
TOKEN[ 2]: 0.2073043    1 graduated
	graduated WORD[ 2,   1]: 0.2073043 既卒
TOKEN[ 3]: 0.0307730    3 established
	established WORD[ 3,   1]: 0.0129484 既定
	established WORD[ 3,   2]: 0.0089124 既設
	established WORD[ 3,   3]: 0.0089122 既成
TOKEN[ 4]: 0.0299896    2 settled
	settled WORD[ 4,   1]: 0.0150001 既済
	settled WORD[ 4,   2]: 0.0149896 既決
TOKEN[ 5]: 0.0274652    1 irreducible
	irreducible WORD[ 5,   1]: 0.0274652 既約
TOKEN[ 6]: 0.0266526    1 previous
	previous WORD[ 6,   1]: 0.0266526 既報
TOKEN[ 7]: 0.0258148    2 accomplished
	accomplished WORD[ 7,   1]: 0.0153504 既遂
	accomplished WORD[ 7,   2]: 0.0104645 既成
TOKEN[ 8]: 0.0226893    1 totality
	totality WORD[ 8,   1]: 0.0226893 皆既
TOKEN[ 9]: 0.0193614    1 aforesaid
	aforesaid WORD[ 9,   1]: 0.0193614 既述
TOKEN[10]: 0.0173513    1 eclipse
	eclipse WORD[10,   1]: 0.0173513 皆既
TOKEN[11]: 0.0167072    1 learned
	learned WORD[11,   1]: 0.0167072 既習
TOKEN[12]: 0.0165216    1 decided
	decided WORD[12,   1]: 0.0165216 既決
TOKEN[13]: 0.0161252    1 determined
	determined WORD[13,   1]: 0.0161252 既決
TOKEN[14]: 0.0147696    1 announcement
	announcement WORD[14,   1]: 0.0147696 既報
TOKEN[15]: 0.0143090    1 total
	total WORD[15,   1]: 0.0143090 皆既
TOKEN[16]: 0.0140615    1 shelf
	shelf WORD[16,   1]: 0.0140615 既製
TOKEN[17]: 0.0138742    1 successful
	successful WORD[17,   1]: 0.0138742 既遂
TOKEN[18]: 0.0137711    1 finished
	finished WORD[18,   1]: 0.0137711 既遂
TOKEN[19]: 0.0128822    1 fixed
	fixed WORD[19,   1]: 0.0128822 既定
TOKEN[20]: 0.0128070    1 lunar
	lunar WORD[20,   1]: 0.0128070 既望
TOKEN[21]: 0.0127267    1 report
	report WORD[21,   1]: 0.0127267 既報
TOKEN[22]: 0.0127122    1 falling
	falling WORD[22,   1]: 0.0127122 既倒
TOKEN[23]: 0.0123649    1 calendar
	calendar WORD[23,   1]: 0.0123649 既望
TOKEN[24]: 0.0122400    1 past
	past WORD[24,   1]: 0.0122400 既往
TOKEN[25]: 0.0121587    1 crime
	crime WORD[25,   1]: 0.0121587 既遂
TOKEN[26]: 0.0121383    1 opposed
	opposed WORD[26,   1]: 0.0121383 既遂
TOKEN[27]: 0.0120982    1 action
	action WORD[27,   1]: 0.0120982 既遂
TOKEN[28]: 0.0116109    1 acquired
	acquired WORD[28,   1]: 0.0116109 既得
TOKEN[29]: 0.0115864    1 shown
	shown WORD[29,   1]: 0.0115864 既出
TOKEN[30]: 0.0114806    1 month
	month WORD[30,   1]: 0.0114806 既望
TOKEN[31]: 0.0111010    1 night
	night WORD[31,   1]: 0.0111010 既望
TOKEN[32]: 0.0103105    1 accepted
	accepted WORD[32,   1]: 0.0103105 既成
TOKEN[33]: 0.0101694    1 exam
	exam WORD[33,   1]: 0.0101694 既出
TOKEN[34]: 0.0093466    1 married
	married WORD[34,   1]: 0.0093466 既婚
TOKEN[35]: 0.0092680    1 known
	known WORD[35,   1]: 0.0092680 既知
TOKEN[36]: 0.0088975    1 late
	late WORD[36,   1]: 0.0088975 既に
TOKEN[37]: 0.0081404    1 question
	question WORD[37,   1]: 0.0081404 既出
