Summary: {Weight} {token}: {words[0:10]}
0.1068270    5 firm           : 牢乎, 断々乎, 断断乎, 断乎, 確乎
0.0960255    4 resolute       : 断々乎, 断断乎, 断乎, 確乎
0.0711541    2 commanding     : 凛乎, 凜乎
0.0642821    2 sheer          : 純乎, 醇乎
0.0473057    2 pure           : 純乎, 醇乎
0.0405556    1 inflexible     : 牢乎
0.0388830    1 immovable      : 牢乎
0.0344105    1 aid            : 乎古止点
0.0342439    1 shining        : 炳乎
0.0339300    1 evident        : 炳乎
0.0308556    1 solid          : 牢乎
0.0288678    1 reading        : 乎古止点
0.0263220    1 solemn         : 儼乎
0.0263220    1 stern          : 儼乎
0.0252144    1 bright         : 炳乎
0.0235023    1 Chinese        : 乎古止点
0.0233020    1 grave          : 儼乎
0.0232507    1 clear          : 炳乎
0.0224624    1 conclusive     : 断乎
0.0206913    1 restrained     : 凝乎と
0.0197494    1 unshakeable    : 確乎
0.0197431    1 determined     : 断乎
0.0179415    1 endure         : 凝乎と
0.0175975    1 stare          : 凝乎と
0.0167464    1 wait           : 凝乎と
0.0165888    1 gaze           : 凝乎と
0.0163946    1 listen         : 凝乎と
0.0156593    1 Japanese       : 弖爾乎波
0.0152269    1 think          : 凝乎と
0.0134698    1 stand          : 凝乎と
0.0124748    1 hold           : 凝乎と

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1068270    5 firm
	firm WORD[ 1,   1]: 0.0281463 牢乎
	firm WORD[ 1,   2]: 0.0243523 断々乎
	firm WORD[ 1,   3]: 0.0243523 断断乎
	firm WORD[ 1,   4]: 0.0159514 断乎
	firm WORD[ 1,   5]: 0.0140248 確乎
TOKEN[ 2]: 0.0960255    4 resolute
	resolute WORD[ 2,   1]: 0.0297207 断々乎
	resolute WORD[ 2,   2]: 0.0297206 断断乎
	resolute WORD[ 2,   3]: 0.0194678 断乎
	resolute WORD[ 2,   4]: 0.0171165 確乎
TOKEN[ 3]: 0.0711541    2 commanding
	commanding WORD[ 3,   1]: 0.0355771 凛乎
	commanding WORD[ 3,   2]: 0.0355770 凜乎
TOKEN[ 4]: 0.0642821    2 sheer
	sheer WORD[ 4,   1]: 0.0321411 純乎
	sheer WORD[ 4,   2]: 0.0321410 醇乎
TOKEN[ 5]: 0.0473057    2 pure
	pure WORD[ 5,   1]: 0.0236529 純乎
	pure WORD[ 5,   2]: 0.0236528 醇乎
TOKEN[ 6]: 0.0405556    1 inflexible
	inflexible WORD[ 6,   1]: 0.0405556 牢乎
TOKEN[ 7]: 0.0388830    1 immovable
	immovable WORD[ 7,   1]: 0.0388830 牢乎
TOKEN[ 8]: 0.0344105    1 aid
	aid WORD[ 8,   1]: 0.0344105 乎古止点
TOKEN[ 9]: 0.0342439    1 shining
	shining WORD[ 9,   1]: 0.0342439 炳乎
TOKEN[10]: 0.0339300    1 evident
	evident WORD[10,   1]: 0.0339300 炳乎
TOKEN[11]: 0.0308556    1 solid
	solid WORD[11,   1]: 0.0308556 牢乎
TOKEN[12]: 0.0288678    1 reading
	reading WORD[12,   1]: 0.0288678 乎古止点
TOKEN[13]: 0.0263220    1 solemn
	solemn WORD[13,   1]: 0.0263220 儼乎
TOKEN[14]: 0.0263220    1 stern
	stern WORD[14,   1]: 0.0263220 儼乎
TOKEN[15]: 0.0252144    1 bright
	bright WORD[15,   1]: 0.0252144 炳乎
TOKEN[16]: 0.0235023    1 Chinese
	Chinese WORD[16,   1]: 0.0235023 乎古止点
TOKEN[17]: 0.0233020    1 grave
	grave WORD[17,   1]: 0.0233020 儼乎
TOKEN[18]: 0.0232507    1 clear
	clear WORD[18,   1]: 0.0232507 炳乎
TOKEN[19]: 0.0224624    1 conclusive
	conclusive WORD[19,   1]: 0.0224624 断乎
TOKEN[20]: 0.0206913    1 restrained
	restrained WORD[20,   1]: 0.0206913 凝乎と
TOKEN[21]: 0.0197494    1 unshakeable
	unshakeable WORD[21,   1]: 0.0197494 確乎
TOKEN[22]: 0.0197431    1 determined
	determined WORD[22,   1]: 0.0197431 断乎
TOKEN[23]: 0.0179415    1 endure
	endure WORD[23,   1]: 0.0179415 凝乎と
TOKEN[24]: 0.0175975    1 stare
	stare WORD[24,   1]: 0.0175975 凝乎と
TOKEN[25]: 0.0167464    1 wait
	wait WORD[25,   1]: 0.0167464 凝乎と
TOKEN[26]: 0.0165888    1 gaze
	gaze WORD[26,   1]: 0.0165888 凝乎と
TOKEN[27]: 0.0163946    1 listen
	listen WORD[27,   1]: 0.0163946 凝乎と
TOKEN[28]: 0.0156593    1 Japanese
	Japanese WORD[28,   1]: 0.0156593 弖爾乎波
TOKEN[29]: 0.0152269    1 think
	think WORD[29,   1]: 0.0152269 凝乎と
TOKEN[30]: 0.0134698    1 stand
	stand WORD[30,   1]: 0.0134698 凝乎と
TOKEN[31]: 0.0124748    1 hold
	hold WORD[31,   1]: 0.0124748 凝乎と
