Summary: {Weight} {token}: {words[0:10]}
0.0612245    2 turtle         : 玳瑁, 瑇瑁
0.0408871    2 agate          : 瑪瑙, 七珍
0.0408500    2 amber          : 琥珀, 赤玉
0.0408163    1 coffee         : 珈琲
0.0232731    3 coral          : 珊瑚, 環礁, 七珍
0.0219854    1 metalware      : 琺瑯
0.0204082    1 yoga           : 瑜伽
0.0188310    1 enamel         : 琺瑯
0.0178434    3 lute           : 琵琶, 胡琴, 月琴
0.0172481    2 biwa           : 琵琶, 胡琴
0.0124676    7 glass          : 玻璃, 瑠璃, 琉璃, トンボ玉, 蜻蛉玉, 玉眼, ビー玉
0.0122492    2 quartz         : 玻璃, 珪砂
0.0116363   12 jewel          : 八尺瓊, 神璽, 王偏, 珠玉, 宝珠, 珠, 攻玉, 宝玉, 玉偏, 上玉, ...
0.0103459    1 translucent    : 玲瓏
0.0094868   12 Japanese       : 琵琶, 浄瑠璃, 琉球, 和琴, 東琴, 琴, 花王, 玉鋼, 杉玉, けん玉, ...
0.0092373    5 jade           : 玲瓏, 臼玉, 玉杯, 勾玉, 曲玉
0.0089547    3 uncut          : 璞, 新玉, 荒玉
0.0083652    1 ringing        : 玲瓏
0.0081283    1 century        : 琳派
0.0079127    1 gorgeous       : 瑰麗
0.0077438    8 gem            : 璞, 新玉, 珠玉, 珠, 荒玉, 宝玉, 白玉, 玉
0.0076474    3 lazuli         : 瑠璃, 琉璃, 七珍
0.0072758    3 unpolished     : 璞, 新玉, 荒玉
0.0071621    1 brilliant      : 玲瓏
0.0070198    3 large          : 八尺瓊, 見せ玉, 大玉
0.0069369    1 carving        : 彫琢
0.0068217    1 magnificent    : 瑰麗
0.0067746    1 painting       : 琳派
0.0067614    1 cultivation    : 琢磨
0.0067099    1 polish         : 琢磨
0.0065179    1 centimeter     : 珊
0.0064917    6 hard           : 切瑳, 無理, 現なま, 現ナマ, 現実, 文理
0.0064468    9 beautiful      : 瑰麗, 玉殿, 珠玉, 珠, 玉音, 玉眼, 上玉, 紅玉, 玉
0.0058375    1 caliber        : 珊
0.0058287    1 clear          : 玲瓏
0.0055840    5 school         : 琳派, 現役, 理科, 玉入れ, 大玉
0.0054528    2 se             : 瑟, 琴瑟
0.0054082    1 cannon         : 珊
0.0051026   21 one            : 無理くり, 切瑳, 玩ぶ, 瑕, 持ち球, 立琴, 四王天, 持ち玉, 隠し球, 現地, ...
0.0050655    1 matchless      : 双璧
0.0050210    4 flaw           : 瑕瑾, 瑕釁, 瑕疵, 瑕
0.0050168    2 blue           : 瑠璃, 琉璃
0.0048395    3 force          : 無理くり, 無理やり, 無理矢理
0.0047534    4 defect         : 瑕瑾, 瑕釁, 瑕疵, 瑕
0.0046451    3 nick           : 瑕瑾, 瑕釁, 瑕
0.0045800   13 Chinese        : 瑟, 琴瑟, 瑞鳥, 胡琴, 洋琴, 提琴, 月琴, 琴, かに玉, 蟹玉, ...
0.0045716    1 siliceous      : 珪質
0.0045666    7 two            : 双璧, 琴瑟, 玉入れ, 二王, 仁王, 玉繭, 玉糸
0.0045458    4 Buddhist       : 瓔珞, 二王, 仁王, 玉眼
