Summary: {Weight} {token}: {words[0:10]}
0.0206614    2 azalea         : 黐躑躅, 躑躅
0.0196157    2 tottering      : 蹣跚, 蹌踉
0.0188611    2 staggering     : 蹣跚, 蹌踉
0.0172414    1 worrying       : 齷齪
0.0155254    5 setback        : 蹉跌, 蹴躓く, 躓く, 躓き, 蹴つまずく
0.0150518    2 stumbling      : 蹉跌, 躓き
0.0148092   53 foot           : 足蹠, 足趾, 蹈鞴, 双蹄, 半跏, 蹠, 踏み躙る, 践む, 踵, 踏み抜く, ...
0.0137797    2 overrunning    : 蹂躪, 蹂躙
0.0120404   90 one            : 踪跡, 一跨ぎ, 蹶起, 蹙める, 踰越, 半跏, 躙る, 這い蹲う, 拝跪, 跪拝, ...
0.0114337    2 infringement   : 蹂躪, 蹂躙
0.0110570    2 violation      : 蹂躪, 蹂躙
0.0107109   10 moving         : 蹌々, 躍り食い, 踊り食い, 光跡, 足はこび, 足運び, 送り足, すり足, 摺り足, 摺足
0.0105883    4 hesitation     : 躊躇, 躊躇い, 躑躅, 二の足
0.0104866    1 loom           : 機躡
0.0102861    2 failure        : 蹉跌, 躓き
0.0100602    2 bend           : 跼む, 踞む
0.0096021    4 lameness       : 蹇, 片跛, 跛, 足萎え
0.0094711   38 kick           : 踵落とし, 回し蹴り, 跳び蹴り, 前蹴り, 飛び蹴り, 蹴り出す, 蹴り入れる, 蹴上がり, 蹴り返す, 蹴り込む, ...
0.0093457    4 barefoot       : 跣足, 素跣, 跣, 裸足
0.0091948    1 paddle         : 蹼
0.0080944    5 ankle          : 内踝, 踝, 蹴手繰り, 足頸, 足首
0.0079122    1 round          : 跼む
0.0077867    4 cripple        : 蹇, 跛, 躄, 足萎え
0.0077827    6 sole           : 足蹠, 蹠, 足底, 足つき, 足付き, 足裏
0.0072959    6 stride         : 一跨ぎ, 跨ぐ, 跨ぎ, 大足, 足どり, 足取り
0.0071372    2 vacillation    : 躊躇, 躑躅
0.0071272   12 Japanese       : 黐躑躅, 山蕗, 蹲い, 蹲, 石蕗, 羊蹄, 蕗, 促音, 朱鷺, 跳び, ...
0.0070520    1 inguinal       : 鼠蹊
0.0068573    5 stumble        : 蹌踉めく, 蹌踉ける, 蹴躓く, 躓く, 蹴つまずく
0.0068546    3 part           : 機躡, 飛躍, 足先
0.0068428    2 indecision     : 躊躇, 躑躅
0.0068146    2 waver          : 躊躇う, 蹌踉めく
0.0067117    2 epilogue       : 跋, 跋文
0.0061126    4 pair           : 蹇, 跛, 足萎え, 片足
0.0060668    2 hoof           : 削蹄, 蹄
0.0059825    2 bellows        : 蹈鞴, 踏鞴
0.0058804    1 alacrity       : 蹶然
0.0057978    1 groin          : 鼠蹊
0.0052626    3 postscript     : 跋, 跋文, 付け足し
0.0051841    2 stalking       : 追蹤, 追跡
0.0049598    4 precedent      : 前蹤, 蹈襲, 先蹤, 踏襲
0.0049442    4 egret          : 小鷺, 大鷺, 鷺草, 尼鷺
0.0049434    5 professional   : 跣足, 跣, 名蹟, 名跡, 裸足
0.0048397   20 spring         : 蹶然, 蕗の薹, 躍りかかる, 躍り掛かる, 躍り掛る, 躍り上がる, 躍る, 躍り, 躍り出る, 跳ね起きる, ...
0.0048256    3 inner          : 内踝, 蹴返し, 迷路
0.0047717    1 hesitate       : 躊躇う
0.0047593    1 frogfish       : 躄魚
0.0046694    1 faltering      : 躊躇い
0.0045225   12 sitting        : 長跪, 半跏, 結跏, 跪坐, 鳶足, 露坐, 露座, 鎌足, 上げ足, 挙げ足, ...
0.0044956    2 approaching    : 跫音, 足音
0.0044312    3 region         : 鼠蹊, 踏破, 足部
0.0044283    1 whereabouts    : 踪跡
0.0044140    1 web            : 蹼
0.0043163    2 stagger        : 蹌踉めく, 蹌踉ける
0.0043136    5 toe            : 母趾, 趾, 足刀, 足指, 足袋
0.0042479    5 standing       : 蹶起, 長跪, 踏ん張り, 浮き足, 浮足
0.0042385    2 pursuit        : 追蹤, 追跡
0.0041704    5 crouch         : 蹲踞, 蹲う, 踞む, 蹲る, 踞る
0.0039517    2 side           : 内踝, 岐路
0.0039207    1 Egretta        : 小鷺
0.0038833    2 chase          : 追蹤, 追跡
0.0038268    3 superior       : 跣足, 跣, 裸足
0.0037551    1 psychosis      : 躁鬱病
0.0037444    4 manic          : 躁鬱病, 躁転, 躁うつ, 躁鬱
0.0036636   10 dancing        : 総踊り, 裸踊り, 小躍り, 手踊り, 踊り歌, 踊歌, 踊り場, 踊場, 舞踊, 舞踏
0.0036475    5 sign           : 跫音, 痕跡, 跡, 路標, 足音
0.0036326    1 blade          : 蹼
0.0036194    2 sense          : 跫音, 足音
0.0035939   16 tread          : 輪距, 踏み躙る, 践む, 踏み面, 踏み固める, 踏む, 踏みにじる, 踏みつける, 踏み付ける, 踏んづける, ...
0.0035231    1 bipolar        : 躁鬱病
0.0034633    9 going          : 失踪, 踰越, 拝跪, 用足し, 踏み込み, ムダ足, 徒足, 無駄足, 足労
0.0033461    1 distressful    : 促迫
0.0032414    1 ax             : 踵落とし
0.0032349    9 distance       : 一跨ぎ, 距離, 距てる, 路程, 踏破, 遠路, 路, ひと足, 一足
0.0032017    3 sound          : 跫音, 語路, 足音
0.0031711    1 brand          : 香露
0.0029754    1 axe            : 踵落とし
0.0029290    5 becoming       : 促迫, 盤踞, 蟠踞, 飛躍, 躁転
0.0029075   18 dance          : 総踊り, 民踊, 踊らす, 裸踊り, 踊り明かす, 舞い踊る, 都踊り, 歌舞伎踊り, 盆踊, 盆踊り, ...
0.0028837    4 kneeling       : 跪け, 拝跪, 跪拝, 跪坐
0.0028771   23 trample        : 躙る, 踏み躙る, 践む, 踏み殺す, 踏み荒す, 踏み荒らす, 踏み破る, 踏み均す, 踏みならす, 踏み倒す, ...
