Summary: {Weight} {token}: {words[0:10]}
0.0972071    1 donor          : 呉れ手
0.0511291    1 soy            : 呉
0.0454543    2 Wu             : 呉音, 呉越
0.0416837    1 something      : 呉れ手
0.0399932    2 one            : 呉れ手, 呉れる
0.0381833    1 creamy         : 呉
0.0361963    1 reading        : 呉音
0.0342750    1 asbolite       : 呉須
0.0342750    1 zaffer         : 呉須
0.0312181    1 ingredient     : 呉
0.0308404    1 soaked         : 呉
0.0276431    1 tofu           : 呉
0.0272072    1 milk           : 呉
0.0266677    1 Phyllostachys  : 呉竹
0.0255204    1 paste          : 呉
0.0236417    1 century        : 呉音
0.0235002    1 porcelain      : 呉須
0.0228971    1 goods          : 呉服
0.0211767    1 give           : 呉れる
0.0211607    1 based          : 呉音
0.0210822    1 soup           : 呉汁
0.0183376    1 go             : 呉
0.0178361    1 ground         : 呉汁
0.0177943    1 drapery        : 呉服
0.0176636    1 bamboo         : 呉竹
0.0166412    1 disadvantage   : 呉れる
0.0164640    1 textile        : 呉服
0.0155021    1 rival          : 呉越
0.0147343    1 Chinese        : 呉音
0.0127293    1 kimono         : 呉服
0.0126338    1 silk           : 呉服
0.0125969    1 dry            : 呉服
0.0120705    1 trouble        : 呉れる
0.0118015    1 let            : 呉れる
0.0116496    1 piece          : 呉服
0.0115838    1 cloth          : 呉服
0.0114586    1 clothes        : 呉服
0.0112968    1 ancient        : 呉越
0.0108875    1 two            : 呉越
0.0090831    1 take           : 呉れる
0.0083717    1 Japanese       : 呉服
0.0079112    1 someone        : 呉れる

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0972071    1 donor
	donor WORD[ 1,   1]: 0.0972071 呉れ手
TOKEN[ 2]: 0.0511291    1 soy
	soy WORD[ 2,   1]: 0.0255645 呉
TOKEN[ 3]: 0.0454543    2 Wu
	Wu WORD[ 3,   1]: 0.0276705 呉音
	Wu WORD[ 3,   2]: 0.0177839 呉越
TOKEN[ 4]: 0.0416837    1 something
	something WORD[ 4,   1]: 0.0416837 呉れ手
TOKEN[ 5]: 0.0399932    2 one
	one WORD[ 5,   1]: 0.0287137 呉れ手
	one WORD[ 5,   2]: 0.0112795 呉れる
TOKEN[ 6]: 0.0381833    1 creamy
	creamy WORD[ 6,   1]: 0.0190916 呉
TOKEN[ 7]: 0.0361963    1 reading
	reading WORD[ 7,   1]: 0.0361963 呉音
TOKEN[ 8]: 0.0342750    1 asbolite
	asbolite WORD[ 8,   1]: 0.0342750 呉須
TOKEN[ 9]: 0.0342750    1 zaffer
	zaffer WORD[ 9,   1]: 0.0342750 呉須
TOKEN[10]: 0.0312181    1 ingredient
	ingredient WORD[10,   1]: 0.0156090 呉
TOKEN[11]: 0.0308404    1 soaked
	soaked WORD[11,   1]: 0.0154202 呉
TOKEN[12]: 0.0276431    1 tofu
	tofu WORD[12,   1]: 0.0138216 呉
TOKEN[13]: 0.0272072    1 milk
	milk WORD[13,   1]: 0.0136036 呉
TOKEN[14]: 0.0266677    1 Phyllostachys
	Phyllostachys WORD[14,   1]: 0.0266677 呉竹
TOKEN[15]: 0.0255204    1 paste
	paste WORD[15,   1]: 0.0127602 呉
TOKEN[16]: 0.0236417    1 century
	century WORD[16,   1]: 0.0236417 呉音
TOKEN[17]: 0.0235002    1 porcelain
	porcelain WORD[17,   1]: 0.0235002 呉須
TOKEN[18]: 0.0228971    1 goods
	goods WORD[18,   1]: 0.0228971 呉服
TOKEN[19]: 0.0211767    1 give
	give WORD[19,   1]: 0.0211767 呉れる
TOKEN[20]: 0.0211607    1 based
	based WORD[20,   1]: 0.0211607 呉音
TOKEN[21]: 0.0210822    1 soup
	soup WORD[21,   1]: 0.0210822 呉汁
TOKEN[22]: 0.0183376    1 go
	go WORD[22,   1]: 0.0091688 呉
TOKEN[23]: 0.0178361    1 ground
	ground WORD[23,   1]: 0.0178361 呉汁
TOKEN[24]: 0.0177943    1 drapery
	drapery WORD[24,   1]: 0.0177943 呉服
TOKEN[25]: 0.0176636    1 bamboo
	bamboo WORD[25,   1]: 0.0176636 呉竹
TOKEN[26]: 0.0166412    1 disadvantage
	disadvantage WORD[26,   1]: 0.0166412 呉れる
TOKEN[27]: 0.0164640    1 textile
	textile WORD[27,   1]: 0.0164640 呉服
TOKEN[28]: 0.0155021    1 rival
	rival WORD[28,   1]: 0.0155021 呉越
TOKEN[29]: 0.0147343    1 Chinese
	Chinese WORD[29,   1]: 0.0147343 呉音
TOKEN[30]: 0.0127293    1 kimono
	kimono WORD[30,   1]: 0.0127293 呉服
TOKEN[31]: 0.0126338    1 silk
	silk WORD[31,   1]: 0.0126338 呉服
TOKEN[32]: 0.0125969    1 dry
	dry WORD[32,   1]: 0.0125969 呉服
TOKEN[33]: 0.0120705    1 trouble
	trouble WORD[33,   1]: 0.0120705 呉れる
TOKEN[34]: 0.0118015    1 let
	let WORD[34,   1]: 0.0118015 呉れる
TOKEN[35]: 0.0116496    1 piece
	piece WORD[35,   1]: 0.0116496 呉服
TOKEN[36]: 0.0115838    1 cloth
	cloth WORD[36,   1]: 0.0115838 呉服
TOKEN[37]: 0.0114586    1 clothes
	clothes WORD[37,   1]: 0.0114586 呉服
TOKEN[38]: 0.0112968    1 ancient
	ancient WORD[38,   1]: 0.0112968 呉越
TOKEN[39]: 0.0108875    1 two
	two WORD[39,   1]: 0.0108875 呉越
TOKEN[40]: 0.0090831    1 take
	take WORD[40,   1]: 0.0090831 呉れる
TOKEN[41]: 0.0083717    1 Japanese
	Japanese WORD[41,   1]: 0.0083717 呉服
TOKEN[42]: 0.0079112    1 someone
	someone WORD[42,   1]: 0.0079112 呉れる
