Summary: {Weight} {token}: {words[0:10]}
0.2249984    2 dynasty        : 南斉, 北斉
0.0677443    2 organized      : 整斉, 斉整
0.0604846    2 neat           : 整斉, 斉整
0.0557582    3 uniformity     : 不斉, 斉一, 均斉
0.0535360    1 governing      : 斉家
0.0320625    1 family         : 斉家
0.0244521    1 asymmetry      : 不斉
0.0228267    2 simultaneous   : 斉射, 一斉
0.0223712    1 unison         : 斉唱
0.0223232    1 unevenness     : 不斉
0.0204913    1 irregularity   : 不斉
0.0192209    1 era            : 斉衡
0.0184938    1 one            : 斉家
0.0181378    1 symmetry       : 均斉
0.0168841    1 equality       : 斉一
0.0168380    1 lack           : 不斉
0.0151685    1 proportion     : 均斉
0.0149070    1 order          : 斉う
0.0140746    1 fusillade      : 斉射
0.0140746    1 salvo          : 斉射
0.0136290    1 regulated      : 斉う
0.0134633    1 identical      : 斉しい
0.0129107    1 balance        : 均斉
0.0118264    1 volley         : 斉射
0.0115659    1 equivalent     : 斉しい
0.0111429    1 treaty         : 斉う
0.0111161    1 Spring         : 斉
0.0109454    1 harmonious     : 斉う
0.0108563    1 artillery      : 斉射
0.0105733    1 settled        : 斉う
0.0103591    1 prepared       : 斉う
0.0102467    1 equal          : 斉しい
0.0101402    1 ready          : 斉う
0.0100523    1 kingdom        : 斉
0.0097262    1 chanting       : 斉唱
0.0097113    1 refined        : 斉う
0.0094980    1 moment         : 斉しく
0.0092173    1 firing         : 斉射
0.0091249    1 contract       : 斉う
0.0089777    1 different      : 斉しい
0.0087804    1 singing        : 斉唱
0.0073020    1 face           : 斉う
0.0070729    1 put            : 斉う
0.0069138    1 fire           : 斉射

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2249984    2 dynasty
	dynasty WORD[ 1,   1]: 0.1561626 南斉
	dynasty WORD[ 1,   2]: 0.0688358 北斉
TOKEN[ 2]: 0.0677443    2 organized
	organized WORD[ 2,   1]: 0.0338722 整斉
	organized WORD[ 2,   2]: 0.0338721 斉整
TOKEN[ 3]: 0.0604846    2 neat
	neat WORD[ 3,   1]: 0.0302424 整斉
	neat WORD[ 3,   2]: 0.0302422 斉整
TOKEN[ 4]: 0.0557582    3 uniformity
	uniformity WORD[ 4,   1]: 0.0212312 不斉
	uniformity WORD[ 4,   2]: 0.0176680 斉一
	uniformity WORD[ 4,   3]: 0.0168590 均斉
TOKEN[ 5]: 0.0535360    1 governing
	governing WORD[ 5,   1]: 0.0535360 斉家
TOKEN[ 6]: 0.0320625    1 family
	family WORD[ 6,   1]: 0.0320625 斉家
TOKEN[ 7]: 0.0244521    1 asymmetry
	asymmetry WORD[ 7,   1]: 0.0244521 不斉
TOKEN[ 8]: 0.0228267    2 simultaneous
	simultaneous WORD[ 8,   1]: 0.0123352 斉射
	simultaneous WORD[ 8,   2]: 0.0104916 一斉
TOKEN[ 9]: 0.0223712    1 unison
	unison WORD[ 9,   1]: 0.0223712 斉唱
TOKEN[10]: 0.0223232    1 unevenness
	unevenness WORD[10,   1]: 0.0223232 不斉
TOKEN[11]: 0.0204913    1 irregularity
	irregularity WORD[11,   1]: 0.0204913 不斉
TOKEN[12]: 0.0192209    1 era
	era WORD[12,   1]: 0.0192209 斉衡
TOKEN[13]: 0.0184938    1 one
	one WORD[13,   1]: 0.0184938 斉家
TOKEN[14]: 0.0181378    1 symmetry
	symmetry WORD[14,   1]: 0.0181378 均斉
TOKEN[15]: 0.0168841    1 equality
	equality WORD[15,   1]: 0.0168841 斉一
TOKEN[16]: 0.0168380    1 lack
	lack WORD[16,   1]: 0.0168380 不斉
TOKEN[17]: 0.0151685    1 proportion
	proportion WORD[17,   1]: 0.0151685 均斉
TOKEN[18]: 0.0149070    1 order
	order WORD[18,   1]: 0.0149070 斉う
TOKEN[19]: 0.0140746    1 fusillade
	fusillade WORD[19,   1]: 0.0140746 斉射
TOKEN[20]: 0.0140746    1 salvo
	salvo WORD[20,   1]: 0.0140746 斉射
TOKEN[21]: 0.0136290    1 regulated
	regulated WORD[21,   1]: 0.0136290 斉う
TOKEN[22]: 0.0134633    1 identical
	identical WORD[22,   1]: 0.0134633 斉しい
TOKEN[23]: 0.0129107    1 balance
	balance WORD[23,   1]: 0.0129107 均斉
TOKEN[24]: 0.0118264    1 volley
	volley WORD[24,   1]: 0.0118264 斉射
TOKEN[25]: 0.0115659    1 equivalent
	equivalent WORD[25,   1]: 0.0115659 斉しい
TOKEN[26]: 0.0111429    1 treaty
	treaty WORD[26,   1]: 0.0111429 斉う
TOKEN[27]: 0.0111161    1 Spring
	Spring WORD[27,   1]: 0.0111161 斉
TOKEN[28]: 0.0109454    1 harmonious
	harmonious WORD[28,   1]: 0.0109454 斉う
TOKEN[29]: 0.0108563    1 artillery
	artillery WORD[29,   1]: 0.0108563 斉射
TOKEN[30]: 0.0105733    1 settled
	settled WORD[30,   1]: 0.0105733 斉う
TOKEN[31]: 0.0103591    1 prepared
	prepared WORD[31,   1]: 0.0103591 斉う
TOKEN[32]: 0.0102467    1 equal
	equal WORD[32,   1]: 0.0102467 斉しい
TOKEN[33]: 0.0101402    1 ready
	ready WORD[33,   1]: 0.0101402 斉う
TOKEN[34]: 0.0100523    1 kingdom
	kingdom WORD[34,   1]: 0.0100523 斉
TOKEN[35]: 0.0097262    1 chanting
	chanting WORD[35,   1]: 0.0097262 斉唱
TOKEN[36]: 0.0097113    1 refined
	refined WORD[36,   1]: 0.0097113 斉う
TOKEN[37]: 0.0094980    1 moment
	moment WORD[37,   1]: 0.0094980 斉しく
TOKEN[38]: 0.0092173    1 firing
	firing WORD[38,   1]: 0.0092173 斉射
TOKEN[39]: 0.0091249    1 contract
	contract WORD[39,   1]: 0.0091249 斉う
TOKEN[40]: 0.0089777    1 different
	different WORD[40,   1]: 0.0089777 斉しい
TOKEN[41]: 0.0087804    1 singing
	singing WORD[41,   1]: 0.0087804 斉唱
TOKEN[42]: 0.0073020    1 face
	face WORD[42,   1]: 0.0073020 斉う
TOKEN[43]: 0.0070729    1 put
	put WORD[43,   1]: 0.0070729 斉う
TOKEN[44]: 0.0069138    1 fire
	fire WORD[44,   1]: 0.0069138 斉射
