Summary: {Weight} {token}: {words[0:10]}
0.0312500    1 immovable      : 阿閦
0.0203360   12 lock           : 気閘, 陸閘, 閂, 閘門, 関鍵, 閉じこめる, 閉じ込める, 閉込める, 閉ざす, 閉め出す, ...
0.0180824    1 heavenly       : 乾闥婆
0.0173742   55 gate           : 闔, 陸閘, 閘門, 閉扉, 埋み門, 中門, 本門, 小門, 茅門, 閉門, ...
0.0139870    7 world          : 開闢, 閻浮提, 閻魔, 俗間, 巷間, 世間, 開国
0.0138994    4 leap           : 閏秒, 正閏, 閏月, 閏年
0.0132606    3 Buddhism       : 乾闥婆, 仏門, 僧門
0.0123414    1 intrusion      : 闖入
0.0122326    1 creation       : 開闢
0.0117251    1 clarification  : 闡明
0.0114590    1 elucidation    : 闡明
0.0108264   18 door           : 闔, 閂, 閉扉, 閉め切り, 玄関, 小門, 門口, 門番, 門扉, 門戸, ...
0.0106315    6 threshold      : 識閾, 閾値, 閾, 狭間, 迫間, 間
0.0099514    3 second         : 閏秒, 大関, 瞬間
0.0099152    2 water          : 閼伽, 水門
0.0097842   12 beginning      : 開闢, 入門, 開映, 幕開き, 蓋開け, 口開け, 幕開け, 開幕, 開通, 開始, ...
0.0096704    1 forced         : 闖入
0.0093134    2 entry          : 闖入, 玄関
0.0084020    6 explanation    : 闡明, 関説, 申し開き, 申開き, 言い開き, 言開き
0.0082987    3 title          : 闔, 大閤, 太閤
0.0082601    1 holy           : 閼伽
0.0074199   40 one            : 開かる, 閊える, 阿闍梨, 閾, 闊歩, 閊え, 閨, 閃く, 閑, 閉眼, ...
0.0073108   67 opening        : 闔, 開け閉め, 開け閉て, 開閉, 幽門, 開湯, 開門, 内開き, 開傘, 開宴, ...
0.0072952    6 bedroom        : 閨閤, 閨門, 空閨, 閨, 閨房, 寝間
0.0068655    2 page           : 闔, 開き癖
0.0067852    2 offering       : 閼伽, 開講
0.0064728    4 Buddha         : 閼伽, 迹門, 本門, 開眼
0.0063598   33 open           : 闕腋, 開かる, 開き癖, 開渠, 開梱, 押し開ける, 開裂, 開けはなつ, 開け放つ, 開け放す, ...
0.0063322    6 ceremony       : 反閇, 閉式, 茅門, 閉会, 開式, 開眼
0.0062464    1 latch          : 閂
0.0061704    6 clique         : 閥族, 党閥, 軍閥, 学閥, 閥, 派閥
0.0058979    7 woman          : 閨閤, 閨秀, 閨房, 間男, 間夫, 間違え, 間違い
0.0058345    1 bolt           : 閂
0.0057132    1 air            : 気閘
0.0056991    8 clan           : 藩閥, 閨閥, 閥族, 閥, 門中, 門葉, 家門, 一門
0.0053712    6 inspection     : 閲, 観閲, 親閲, 査閲, 検閲, 閲覧
0.0053162    5 clothing       : 開かる, 闕腋, 間服, 間着, 前開き
0.0052932    1 sill           : 閾
0.0052226    2 multistoried   : 鳳閣, 楼閣
0.0050592    2 dead           : 閻魔, 夜闇
0.0050515    2 bar            : 閂, 閉め出す
0.0049490   11 land           : 陸閘, 閑地, 間切, 間口, 間切り, 未開, 新開, 切り開く, 切開く, 切り開き, ...
0.0048262    3 monk           : 阿闍梨, 沙門, 桑門
0.0047499    2 rope           : 閂, 間尺
0.0047110   17 quiet          : 幽閑, 長閑やか, 閑散, 閑居, 森閑, 深閑, 清閑, 閑話, 閑地, 閑寂, ...
0.0046028    1 sparkling      : 閃々
0.0046028    1 flickering     : 閃々
0.0045656    1 sorcerer       : 反閇
0.0045462    8 building       : 鳳閣, 台閣, 楼閣, 高閣, 中門, 間口, 展開, 開場
0.0044673    3 high           : 阿闍梨, 高閣, 闌ける
0.0044416    1 glittering     : 閃々
0.0044416    1 glistening     : 閃々
0.0044128    1 document       : 閲
0.0044100    1 Emma           : 閻魔
0.0043911    1 apart          : 開かる
0.0042863    1 inspired       : 反閇
0.0042014    4 job            : 手間仕事, 閑地, 閑職, 閑
0.0041834    1 fluttering     : 閃々
0.0041791    3 role           : 阿闍梨, 大閤, 太閤
0.0041686    6 cabinet        : 台閣, 入閣, 内閣, 組閣, 閣僚, 閣議
0.0041286    1 unstitched     : 闕腋
0.0040721    2 secluded       : 幽閑, 閑居
0.0039516    1 continent      : 閻浮提
0.0038772    2 quarters       : 閨閤, 閨
0.0038615    1 protect        : 反閇
0.0038219   25 room           : 閨閤, 閨, 玄関, 借間, 別間, 客間, 板の間, 広間, 本間, 貸間, ...
0.0038132    1 terrestrial    : 閻浮提
0.0038030    1 exposed        : 開かる
0.0037996    1 afterlife      : 閻王
0.0037162    1 sliding        : 閾
0.0036432   15 fighting       : 闘蟋, 闘気, 熱闘, 奮闘, 闘犬, 闘鶏, 闘魚, 闘牛, 乱闘, 闘病, ...
0.0036007    2 sleeping       : 閨閤, 閨
0.0035978    1 consciousness  : 識閾
0.0034697    3 block          : 開かる, 閉ざす, 間駒
0.0033981    1 parapet        : 闌干
0.0033973    7 wide           : 開かる, 開脚, 開け広げる, 見開く, 開けはなつ, 開け放つ, 開け放す
0.0033691    2 noble          : 反閇, 名門
0.0033589   32 time           : 閲する, 久闊, 間に合わす, 閑, 消閑, 闘い, 閑人, 片手間, 門限, 手間ひま, ...
0.0033343    1 initiate       : 阿闍梨
0.0033210    1 balustrade     : 闌干
0.0032580    1 banister       : 闌干
0.0032481    1 trip           : 反閇
0.0031930    3 stand          : 開かる, 覗き機関, 覗機関
0.0031654    3 setting        : 反閇, 門出, 開設
0.0031586    1 handrail       : 闌干
0.0031495    2 dance          : 反閇, 間の手
0.0030485    1 railing        : 闌干
0.0030184    1 shining        : 闌干
0.0029808    1 splendid       : 鳳閣
0.0029785    1 judge          : 閻王
0.0028927    7 party          : 党閥, 軍閥, 闇鍋, 闇汁, 闌, 開帳, 開張
0.0028720    1 king           : 閻魔
0.0028418    1 rail           : 闌干
0.0028225    1 subliminal     : 閾下
0.0028217    2 regent         : 大閤, 太閤
0.0028072    3 advisor        : 大閤, 太閤, 関白
0.0027668    3 adviser        : 大閤, 太閤, 関白
0.0027053    2 chancellor     : 大閤, 太閤
0.0027017    1 flowing        : 闌干
0.0026945    4 palace         : 殿閣, 禁闕, 金闕, 宮門
0.0026919    3 faction        : 党閥, 閥, 派閥
0.0026386    2 system         : 鳳閣, 閉架
0.0025195    3 living         : 閨閤, 茶の間, 居間
0.0025111    3 way            : 開かる, 切り開く, 切開く
0.0025059    1 correct        : 阿闍梨
0.0024785    2 vastness       : 宏闊, 広闊
0.0024785    2 extensiveness  : 宏闊, 広闊
0.0024785    2 expansiveness  : 宏闊, 広闊
0.0024785    2 spaciousness   : 宏闊, 広闊
0.0024489    5 priest         : 阿闍梨, 門跡, 婆羅門, 門主, 桑門
0.0024337    3 conduct        : 阿闍梨, 間違え, 間違い
0.0024113   10 dark           : 五月闇, 闇い, 闇鍋, 闇汁, 闇路, 闇夜, 闇愚, 暗闘, 暗闇, 闇
0.0023887    1 model          : 阿闍梨
0.0023860    3 religious      : 阿闍梨, 門派, 宗門
0.0023835    1 formal         : 阿闍梨
0.0023351    1 approval       : 閲
0.0023314    2 guard          : 闌干, 門番
0.0023301    3 perusal        : 内閲, 閲覧, 閲読
0.0023297    1 moon           : 闌干
0.0022796    1 stamp          : 閲
0.0021891    1 feel           : 閊える
0.0021778    1 dose           : 閾値
0.0021670    4 rank           : 阿闍梨, 関脇, 大関, 本間
0.0020800    2 son            : 大閤, 太閤
0.0020643    1 ran            : 闕腋
0.0020622    3 grand          : 大閤, 太閤, 創開
0.0020586    3 side           : 闕腋, 小門, 間道
0.0020444    2 father         : 大閤, 太閤
0.0020442    4 night          : 夜闇, 五月闇, 闇夜, 夜間
0.0020110    6 flash          : 閃く, 閃き, 閃かす, 閃電, 閃光, 一閃
0.0019306    1 piecework      : 手間仕事
0.0019162    1 narrow         : 門波
0.0019111    3 military       : 闕腋, 軍閥, 武門
0.0018852   13 fight          : 闘わす, 闘う, 闘い, 闘諍, 力闘, 闘争, 闘志, 戦闘, 苦闘, 挌闘, ...
0.0018772    2 impediment     : 閊え, 差閊え
0.0017976    8 government     : 内閣, 倒閣, 閉庁, 霞が関, 霞ケ関, 霞ヶ関, 衙門, 開庁
0.0017844    2 tall           : 台閣, 高閣
0.0017682   16 shut           : 閉ざす, 閉じる, 閉じこもる, 閉じ篭もる, 閉じ篭る, 閉じ籠もる, 閉じ籠る, 閉じ込もる, 閉じこめる, 閉じ込める, ...
0.0017117    1 intervention   : 関渉
0.0017078    2 hindrance      : 閊え, 差閊え
0.0016870    2 tedious        : 手間仕事, 間怠い
0.0016459    1 meddling       : 関渉
0.0016311    3 chest          : 閊える, 閊え, 胸間
0.0016280   11 struggle       : 死闘, 闘諍, 武闘, 奮闘, 闘争, 闘う, 闘い, 争闘, 私闘, 苦闘, ...
0.0016277    1 sea            : 門波
0.0016184    3 thoughtless    : 迂闊, 無闇矢鱈, 無闇
0.0015832    1 amount         : 閾値
0.0015828    1 clanship       : 藩閥
0.0015671   12 family         : 門閥, 閨門, 門中, 名門, 門葉, 門跡, 武門, 権門, 家門, 一門, ...
0.0015424    2 generous       : 寛闊, 闊達
0.0015419    1 troublesome    : 手間仕事
0.0015040    1 robe           : 闕腋
0.0014842    1 interference   : 関渉
0.0014319    2 Korean         : 花闘, 板門店
0.0013736    9 shutting       : 開け閉め, 開け閉て, 密閉, 閉校, 閉居, 閉院, 閉め出し, 閉まり, 開閉
0.0013637    1 pedigree       : 門閥
0.0013506    3 collar         : 闕腋, 開衿, 開襟
