Summary: {Weight} {token}: {words[0:10]}
0.0555556    1 notwithstanding: 雖も
0.0259530    1 chicken        : 雞
0.0214981    6 bird           : 隹, 雛鳥, 雌鳥, 雌鶏, 雛, 流離
0.0204815    3 Falco          : 白隼, 稚児隼, 隼
0.0198481    1 radical        : 隹
0.0163705    3 old            : 隹, 雅楽, 手離れ
0.0142852    1 courtesy       : 関雎
0.0131175    1 Gallus         : 雞
0.0129461    1 agglomerate    : 集塊
0.0128076    1 harmony        : 関雎
0.0126686    1 gyrfalcon      : 白隼
0.0119936    2 marriage       : 関雎, 雑婚
0.0111259    3 aggregation    : 集塊, 集成, 集計
0.0103310   13 employment     : 雇い止め, 雇止め, 常雇い, 雇入, 雇入れ, 雇い入れ, 雇, 雇い, 日雇, 日雇い, ...
0.0096813    3 pheasant       : 雉笛, 雉, 雉子
0.0096762    1 cluster        : 集塊
0.0091564    1 domestic       : 雞
0.0089558   15 female         : 雌豚, 雌木, 雌鹿, 雌猫, 雌犬, 雌雄, 雌ねじ, 雌螺子, 雌株, 雌性, ...
0.0088577    2 mass           : 集塊, 集団
0.0087949    6 wild           : 鴻雁, 雁金, 雁が音, 孤雁, 帰雁, 雁
0.0084308    5 large          : 鴻雁, 隻, 雁木, 群れ集まる, 集大成
0.0084198    2 termination    : 雇い止め, 雇止め
0.0075720    7 elegance       : 幽雅, 雅び, 古雅, 雅趣, 雅致, 風雅, 雅
0.0073287    1 meat           : 雞
0.0069629   11 person         : 隻腕, 人離れ, 雇われ, 鳳雛, 難民, 雀, 英雄, 難物, 難儀, 雑喉, ...
0.0068203    1 hobby          : 稚児隼
0.0066088    8 small          : 鴻雁, 雑器, 燕雀, 雑喉, 雑魚, 小難, 雑兵, 雑木
0.0062220    1 flute          : 雉笛
0.0060116    1 eye            : 隻眼
0.0058798    7 goose          : 黒雁, 雁金, 真雁, 雁が音, 孤雁, 雁首, 雁
0.0058184    1 lure           : 雉笛
0.0057952    4 song           : 雉笛, 大雅, 雅, 雑曲
0.0057837   15 male           : 雄親, 雄馬, 雌雄, 雄性, 雄猿, 雄木, 雄犬, 雄ねじ, 雄螺子, 雄株, ...
0.0057689    1 counter        : 隻
0.0057540    1 northern       : 稚児隼
0.0056268    5 group          : 集群, 雑婚, 集団, 集英, 群集
0.0055660    3 green          : 雉笛, 雉, 雉子
0.0055647    3 acrobatics     : 雑芸, 雑伎, 雑技
0.0054040    3 refinement     : 幽雅, 雅び, 風雅
0.0051575   13 elegant        : 雅びやか, 雅やか, 文雅, 清雅, 高雅, 閑雅, 雅称, 雅語, 雅言, 風雅, ...
0.0051014   14 one            : 隻手, 隻眼, 一難, 離職, 離席, 手離し, 離村, 離床, 離郷, 手離れ, ...
0.0050990    1 poppy          : 雛罌粟
0.0050213    7 great          : 七難, 野雁, 雄志, 両雄, 雄大, 英雄, 大難
0.0050031    1 Pandion        : 雎鳩
0.0050031    1 osprey         : 雎鳩
0.0049587    2 hawk           : 雎鳩, 雀蛾
0.0048941    1 profound       : 幽雅
0.0048702    7 employee       : 常雇い, 雇い人, 雇人, 雇, 雇員, 雇い, 解雇
0.0045969    3 used           : 雉笛, 雄町, 雁木
0.0045515    6 plant          : 雌木, 雄木, 雌株, 雄株, 雁皮, 雌
0.0045076   21 miscellaneous  : 雑芸, 雑物, 雑器, 雑題, 雑感, 雑益, 雑用, 雑則, 雑歌, 雑録, ...
0.0044996    1 discerning     : 隻眼
0.0043466    4 doll           : 女雛, 男雛, 雛壇, 雛段
0.0042330    1 number         : 七難
0.0041820    5 fish           : 雎鳩, 隻, 雑炊, 雑喉, 雑魚
0.0041619    1 glimpse        : 隻影
0.0041444    1 half           : 隻
0.0041089    2 unfair         : 雇い止め, 雇止め
0.0040851   10 refined        : 風雅, 文雅, 高雅, 閑雅, 雅俗, 雅馴, 雅語, 雅言, 優雅, 典雅
0.0038802    2 woman          : 雌豚, 女難
0.0038557    1 geisha         : 雛妓
0.0036323    1 slut           : 雌豚
0.0036155    1 brant          : 黒雁
