Summary: {Weight} {token}: {words[0:10]}
0.1225023    1 jest           : 諧謔
0.1138650    1 banter         : 諧謔
0.0969660    1 joke           : 諧謔
0.0595553    1 fever          : 瘧
0.0408703    1 malarial       : 瘧
0.0358193    1 ague           : 瘧
0.0350063    1 plague         : 瘧
0.0337804    1 intermittent   : 瘧
0.0324809    1 epidemic       : 瘧
0.0321336    1 infectious     : 瘧
0.0247703    1 disease        : 瘧
0.0229688    2 sadism         : 加虐, 嗜虐
0.0199575    1 name           : 瘧
0.0189595    1 old            : 瘧
0.0186085    2 maltreatment   : 被虐, 虐待
0.0172599    4 cruel          : 苛虐, 惨虐, 残虐, 虐める
0.0126998    2 atrocity       : 悪虐, 暴虐
0.0126628    1 unpardonable   : 八虐
0.0124785    2 tyranny        : 虐政, 暴虐
0.0117311    1 causing        : 加虐
0.0106809    1 suffering      : 被虐
0.0102608    2 persecute      : 虐げる, 虐める
0.0099264    1 eight          : 八虐
0.0097710    1 pain           : 加虐
0.0094020    1 result         : 被虐
0.0086361    2 barbarous      : 惨虐, 残虐
0.0085307    1 law            : 八虐
0.0079207    2 brutal         : 惨虐, 残虐
0.0079122    1 ancient        : 八虐
0.0076970    2 savage         : 惨虐, 残虐
0.0075012    1 tyrannize      : 虐げる
0.0066233    1 indignity      : 陵虐
0.0065363    1 despotism      : 虐政
0.0064649    1 treatment      : 苛虐
0.0064250    1 oppress        : 虐げる
0.0061696    1 affront        : 陵虐
0.0061271    1 treason        : 悪虐
0.0058601    1 Japanese       : 八虐
0.0054674    1 masochism      : 自虐
0.0054151    1 humiliation    : 陵虐
0.0051637    1 mistreatment   : 虐待
0.0050153    1 assault        : 陵虐
0.0042679    1 cruelty        : 虐待
0.0042679    1 massacre       : 虐殺
0.0041279    1 bullying       : 虐め
0.0039488    1 slaughter      : 虐殺
0.0038369    1 teasing        : 虐め
0.0037033    1 harshly        : 虐める
0.0035271    1 abuse          : 虐待
0.0034965    1 tease          : 虐める
0.0033816    1 driving        : 虐使
0.0033421    1 torment        : 虐める
0.0032688    1 oneself        : 自虐
0.0031990    1 damage         : 自虐
0.0031612    1 tough          : 虐める
0.0029509    1 treat          : 虐める
0.0027532    1 hard           : 虐使
0.0027289    1 pick           : 虐める
0.0022701    1 body           : 虐める
0.0019300    1 someone        : 虐使
0.0012550    1 one            : 虐める

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1225023    1 jest
	jest WORD[ 1,   1]: 0.1225023 諧謔
TOKEN[ 2]: 0.1138650    1 banter
	banter WORD[ 2,   1]: 0.1138650 諧謔
TOKEN[ 3]: 0.0969660    1 joke
	joke WORD[ 3,   1]: 0.0969660 諧謔
TOKEN[ 4]: 0.0595553    1 fever
	fever WORD[ 4,   1]: 0.0297776 瘧
TOKEN[ 5]: 0.0408703    1 malarial
	malarial WORD[ 5,   1]: 0.0204351 瘧
TOKEN[ 6]: 0.0358193    1 ague
	ague WORD[ 6,   1]: 0.0179097 瘧
TOKEN[ 7]: 0.0350063    1 plague
	plague WORD[ 7,   1]: 0.0175032 瘧
TOKEN[ 8]: 0.0337804    1 intermittent
	intermittent WORD[ 8,   1]: 0.0168902 瘧
TOKEN[ 9]: 0.0324809    1 epidemic
	epidemic WORD[ 9,   1]: 0.0162404 瘧
TOKEN[10]: 0.0321336    1 infectious
	infectious WORD[10,   1]: 0.0160668 瘧
TOKEN[11]: 0.0247703    1 disease
	disease WORD[11,   1]: 0.0123852 瘧
TOKEN[12]: 0.0229688    2 sadism
	sadism WORD[12,   1]: 0.0150165 加虐
	sadism WORD[12,   2]: 0.0079523 嗜虐
TOKEN[13]: 0.0199575    1 name
	name WORD[13,   1]: 0.0099787 瘧
TOKEN[14]: 0.0189595    1 old
	old WORD[14,   1]: 0.0094797 瘧
TOKEN[15]: 0.0186085    2 maltreatment
	maltreatment WORD[15,   1]: 0.0140829 被虐
	maltreatment WORD[15,   2]: 0.0045256 虐待
TOKEN[16]: 0.0172599    4 cruel
	cruel WORD[16,   1]: 0.0068559 苛虐
	cruel WORD[16,   2]: 0.0036161 惨虐
	cruel WORD[16,   3]: 0.0036161 残虐
	cruel WORD[16,   4]: 0.0031718 虐める
TOKEN[17]: 0.0126998    2 atrocity
	atrocity WORD[17,   1]: 0.0064025 悪虐
	atrocity WORD[17,   2]: 0.0062973 暴虐
TOKEN[18]: 0.0126628    1 unpardonable
	unpardonable WORD[18,   1]: 0.0126628 八虐
TOKEN[19]: 0.0124785    2 tyranny
	tyranny WORD[19,   1]: 0.0064521 虐政
	tyranny WORD[19,   2]: 0.0060264 暴虐
TOKEN[20]: 0.0117311    1 causing
	causing WORD[20,   1]: 0.0117311 加虐
TOKEN[21]: 0.0106809    1 suffering
	suffering WORD[21,   1]: 0.0106809 被虐
TOKEN[22]: 0.0102608    2 persecute
