Summary: {Weight} {token}: {words[0:10]}
0.1214276   10 emperor        : 前帝, 幼帝, 先帝, 廃帝, 帝王, 大帝, 聖帝, 新帝, 皇帝, 帝
0.0986249   10 imperial       : 帝冠, 帝制, 帝座, 帝廟, 帝都, 帝位, 帝大, 帝政, 帝国, 帝
0.0915375    4 imperialism    : 日帝, 米帝, 帝制, 帝政
0.0455725    2 preceding      : 前帝, 先帝
0.0382010    2 Indra          : 帝釈, 天帝
0.0369528    2 monarchical    : 帝制, 帝政
0.0344702    1 diadem         : 帝冠
0.0313683    2 throne         : 帝座, 帝位
0.0295120    3 king           : 廃帝, 天帝, 帝釈
0.0281893    1 exhibition     : 帝展
0.0262093    1 crown          : 帝冠
0.0239472    1 young          : 幼帝
0.0236052    2 rule           : 帝制, 帝政
0.0233338    2 Hindu          : 天帝, 帝釈
0.0224011    2 religion       : 天帝, 上帝
0.0223581    1 art            : 帝展
0.0215436    2 government     : 帝制, 帝政
0.0214558    2 God            : 天帝, 上帝
0.0206910    2 mythology      : 天帝, 帝釈
0.0192286    2 heaven         : 天帝, 帝釈
0.0187079    2 deity          : 天帝, 上帝
0.0155082    2 capital        : 帝都, 帝京
0.0136093    2 Chinese        : 天帝, 上帝
0.0125393    1 Japanese       : 日帝
0.0123051    1 mausoleum      : 帝廟
0.0122508    1 creator        : 上帝
0.0121970    1 sovereign      : 帝王
0.0120989    1 monarch        : 帝王
0.0114975    1 supreme        : 天帝
0.0109162    1 empress        : 女帝
0.0107760    1 virtuous       : 聖帝
0.0103308    1 folk           : 上帝
0.0095155    1 late           : 先帝
0.0094138    1 empire         : 帝国
0.0082362    1 ancient        : 天帝
0.0080923    1 mikado         : 帝
0.0074943    1 new            : 新帝
0.0073729    1 great          : 大帝
0.0067435    1 university     : 帝大
0.0052800    1 residence      : 帝
0.0044848    1 Japan          : 帝

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1214276   10 emperor
	emperor WORD[ 1,   1]: 0.0263080 前帝
	emperor WORD[ 1,   2]: 0.0249173 幼帝
	emperor WORD[ 1,   3]: 0.0174474 先帝
	emperor WORD[ 1,   4]: 0.0089332 廃帝
	emperor WORD[ 1,   5]: 0.0087422 帝王
	emperor WORD[ 1,   6]: 0.0084583 大帝
	emperor WORD[ 1,   7]: 0.0083640 聖帝
	emperor WORD[ 1,   8]: 0.0082274 新帝
	emperor WORD[ 1,   9]: 0.0051126 皇帝
	emperor WORD[ 1,  10]: 0.0049171 帝
TOKEN[ 2]: 0.0986249   10 imperial
	imperial WORD[ 2,   1]: 0.0209762 帝冠
	imperial WORD[ 2,   2]: 0.0159116 帝制
	imperial WORD[ 2,   3]: 0.0157982 帝座
	imperial WORD[ 2,   4]: 0.0083150 帝廟
	imperial WORD[ 2,   5]: 0.0083148 帝都
	imperial WORD[ 2,   6]: 0.0083132 帝位
	imperial WORD[ 2,   7]: 0.0054405 帝大
	imperial WORD[ 2,   8]: 0.0054402 帝政
	imperial WORD[ 2,   9]: 0.0054394 帝国
	imperial WORD[ 2,  10]: 0.0046758 帝
TOKEN[ 3]: 0.0915375    4 imperialism
	imperialism WORD[ 3,   1]: 0.0282613 日帝
	imperialism WORD[ 3,   2]: 0.0273740 米帝
	imperialism WORD[ 3,   3]: 0.0267547 帝制
	imperialism WORD[ 3,   4]: 0.0091475 帝政
TOKEN[ 4]: 0.0455725    2 preceding
	preceding WORD[ 4,   1]: 0.0342239 前帝
	preceding WORD[ 4,   2]: 0.0113486 先帝
TOKEN[ 5]: 0.0382010    2 Indra
	Indra WORD[ 5,   1]: 0.0240504 帝釈
	Indra WORD[ 5,   2]: 0.0141506 天帝
TOKEN[ 6]: 0.0369528    2 monarchical
	monarchical WORD[ 6,   1]: 0.0275376 帝制
	monarchical WORD[ 6,   2]: 0.0094152 帝政
TOKEN[ 7]: 0.0344702    1 diadem
