Summary: {Weight} {token}: {words[0:10]}
0.2546380    1 fearlessness   : 無畏
0.2156971    1 preaching      : 無畏
0.2058867    1 confidence     : 無畏
0.0257445    4 awe            : 畏れ入る, 畏服, 畏怖, 畏敬
0.0199510    4 fear           : 畏る, 畏れる, 畏れ, 畏怖
0.0133075    2 respect        : 畏れ多い, 畏敬
0.0119396    2 afraid         : 畏る, 畏れる
0.0117841    1 discourteous   : 畏れ多い
0.0113630    2 reverence      : 畏れ, 畏敬
0.0109769    1 awesome        : 畏れ多い
0.0107974    1 august         : 畏れ多い
0.0101697    1 gracious       : 畏れ多い
0.0080511    1 superior       : 畏れ多い
0.0077480    1 due            : 畏れ多い
0.0076964    1 wincing        : 畏縮
0.0076854    1 friend         : 畏友
0.0068467    1 disconcerted   : 畏れ入る
0.0067452    1 flinching      : 畏縮
0.0066069    1 grateful       : 畏れ入る
0.0065921    1 shrinking      : 畏縮
0.0065117    1 obliged        : 畏れ入る
0.0063900    1 dread          : 畏怖
0.0062224    1 horror         : 畏れ
0.0061239    1 obedient       : 畏い
0.0061130    1 amazed         : 畏れ入る
0.0059037    1 obey           : 畏まる
0.0058584    1 uneasiness     : 畏れ
0.0058240    1 sorry          : 畏れ入る
0.0057784    1 fright         : 畏怖
0.0056718    1 beg            : 畏れ入る
0.0056619    1 smart          : 畏い
0.0055699    1 pardon         : 畏れ入る
0.0055699    1 embarrassed    : 畏れ入る
0.0054399    1 filled         : 畏れ入る
0.0054298    1 straight       : 畏まる
0.0053973    1 sit            : 畏まる
0.0053469    1 anxiety        : 畏れ
0.0053215    1 clever         : 畏い
0.0052939    1 upright        : 畏まる
0.0052532    1 wise           : 畏い
0.0051012    1 humble         : 畏まる
0.0050876    1 concern        : 畏れ
0.0043859    1 feel           : 畏れ入る
0.0036325    1 good           : 畏い
0.0035357    1 small          : 畏れ入る
0.0033483    1 one            : 畏友

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2546380    1 fearlessness
	fearlessness WORD[ 1,   1]: 0.2546380 無畏
TOKEN[ 2]: 0.2156971    1 preaching
	preaching WORD[ 2,   1]: 0.2156971 無畏
TOKEN[ 3]: 0.2058867    1 confidence
	confidence WORD[ 3,   1]: 0.2058867 無畏
TOKEN[ 4]: 0.0257445    4 awe
	awe WORD[ 4,   1]: 0.0066069 畏れ入る
	awe WORD[ 4,   2]: 0.0063900 畏服
	awe WORD[ 4,   3]: 0.0063900 畏怖
	awe WORD[ 4,   4]: 0.0063577 畏敬
TOKEN[ 5]: 0.0199510    4 fear
	fear WORD[ 5,   1]: 0.0051226 畏る
	fear WORD[ 5,   2]: 0.0049982 畏れる
	fear WORD[ 5,   3]: 0.0049970 畏れ
	fear WORD[ 5,   4]: 0.0048332 畏怖
TOKEN[ 6]: 0.0133075    2 respect
	respect WORD[ 6,   1]: 0.0083757 畏れ多い
	respect WORD[ 6,   2]: 0.0049318 畏敬
TOKEN[ 7]: 0.0119396    2 afraid
	afraid WORD[ 7,   1]: 0.0060432 畏る
	afraid WORD[ 7,   2]: 0.0058964 畏れる
TOKEN[ 8]: 0.0117841    1 discourteous
	discourteous WORD[ 8,   1]: 0.0117841 畏れ多い
TOKEN[ 9]: 0.0113630    2 reverence
	reverence WORD[ 9,   1]: 0.0057905 畏れ
	reverence WORD[ 9,   2]: 0.0055725 畏敬
TOKEN[10]: 0.0109769    1 awesome
	awesome WORD[10,   1]: 0.0109769 畏れ多い
TOKEN[11]: 0.0107974    1 august
	august WORD[11,   1]: 0.0107974 畏れ多い
TOKEN[12]: 0.0101697    1 gracious
	gracious WORD[12,   1]: 0.0101697 畏れ多い
TOKEN[13]: 0.0080511    1 superior
	superior WORD[13,   1]: 0.0080511 畏れ多い
TOKEN[14]: 0.0077480    1 due
	due WORD[14,   1]: 0.0077480 畏れ多い
TOKEN[15]: 0.0076964    1 wincing
	wincing WORD[15,   1]: 0.0076964 畏縮
TOKEN[16]: 0.0076854    1 friend
	friend WORD[16,   1]: 0.0076854 畏友
TOKEN[17]: 0.0068467    1 disconcerted
	disconcerted WORD[17,   1]: 0.0068467 畏れ入る
TOKEN[18]: 0.0067452    1 flinching
	flinching WORD[18,   1]: 0.0067452 畏縮
TOKEN[19]: 0.0066069    1 grateful
	grateful WORD[19,   1]: 0.0066069 畏れ入る
TOKEN[20]: 0.0065921    1 shrinking
	shrinking WORD[20,   1]: 0.0065921 畏縮
TOKEN[21]: 0.0065117    1 obliged
	obliged WORD[21,   1]: 0.0065117 畏れ入る
TOKEN[22]: 0.0063900    1 dread
