Summary: {Weight} {token}: {words[0:10]}
0.0277778    1 privation      : 凍餒
0.0178021  111 food           : 献饌, 饐える, 神饌, 昼餉, 食べ飽きる, 男飯, 食養, 飽食, 餡かけ, 餡掛け, ...
0.0155513    1 admonishment   : 戒飭
0.0155399   12 starvation     : 餓莩, 饑餓, 飢渇, 飢餓, 飢え死, 飢え死に, 飢死, 飢死に, 飢え, 餓え死に, ...
0.0136097    8 offering       : 献饌, 饌米, 神饌, 鏡餠, 供え餅, 供餅, 鏡餅, 斎食
0.0126971    5 famine         : 饑饉, 飢饉, 饑餓, 飢餓, 飢きん
0.0122478    4 bun            : 豚饅, 饅頭, 肉饅, 甘食
0.0122265    1 warning        : 戒飭
0.0121632    6 Chinese        : 饕餮, 饂飩, 饅頭, 飯店, 冷食, 寒食
0.0119097    2 gift           : 餞, 餞別
0.0116762    5 dumpling       : 饂飩, 蓮餅, わらび餅, 蕨餅, 餡
0.0114224    3 starved        : 餓莩, 飢える, 餓える
0.0114035    1 ton            : 饂飩
0.0112589    3 pork           : 餃子, 豚饅, 豚飯
0.0111150   67 meal           : 夕餉, 昼餉, 餘り, 食べ出, 粗餐, 夜ご飯, 夜御飯, ただ飯, タダ飯, 只飯, ...
0.0110167    1 subsistence    : 餬口
0.0107058    1 won            : 饂飩
0.0107058    1 wanton         : 饂飩
0.0100008    3 chronic        : 饑饉, 飢饉, 飢きん
0.0092632    1 salty          : 塩飴
0.0092385    2 farewell       : 餞, 餞別
0.0090176    9 livelihood     : 餬口, 飯, 食いっぱぐれる, 食いっ逸れる, 食いはぐれる, 食い逸れる, 食い逸れ, 食い上げ, 衣食
0.0087538    3 shortage       : 饑饉, 飢饉, 飢きん
0.0085954   17 dinner         : 夕餉, 正餐, 晩餐, 午餐, 饗する, 饗応, 夜ご飯, 夜御飯, 晩ご飯, 晩御飯, ...
0.0084581    4 crop           : 饑饉, 飢饉, 餌袋, 飢きん
0.0079981   12 pet            : 外飼い, 鳥飼い, 餌, 飼い猫, 飼猫, 飼い鳥, 飼鳥, 飼う, 飼い主, 飼主, ...
0.0079155    1 sticker        : 餃子
0.0078711    3 failure        : 饑饉, 飢饉, 飢きん
0.0078418    1 bare           : 餬口
0.0078015    1 stuffed        : 餃子
0.0077698   96 rice           : 饌米, 餠, 干飯, 蒸し飯, 蒸飯, 栗ご飯, 栗御飯, 揚げ餅, 餅踏み, 栃餅, ...
0.0076494    1 outdoors       : 外飼い
0.0075263    7 hunger         : 饑寒, 饑餓, 飢寒, 飢渇, 飢餓, 飢え, 餓え
0.0074138    5 filling        : 豚饅, 肉饅, 餡, 餡こ, 餡子
0.0072179    1 Shang          : 饕餮
0.0068310   12 bait           : 生餌, 餌箱, 毒餌, 練り餌, 釣り餌, 撒き餌, 活き餌, 活餌, 生き餌, 好餌, ...
0.0067959    6 keeping        : 外飼い, 養畜, 鳥飼い, 飼い殺し, 飼殺し, 手飼い
0.0067763    1 mythological   : 饕餮
0.0066972    1 motif          : 饕餮
0.0066972    1 covetousness   : 饕餮
0.0066297    1 viaticum       : 餞
0.0065524   20 boiled         : 餅餤, 餅腅, 干飯, ご飯粒, 御飯粒, 麦ご飯, 麦御飯, 栗ご飯, 栗御飯, 餡蜜, ...
0.0065001    1 avarice        : 饕餮
0.0063570    1 caramel        : 塩飴
0.0063024    5 hungry         : 饑い, 餓狼, 飢える, 餓える, 餓鬼
0.0062986    1 greed          : 饕餮
0.0062150    1 creature       : 饕餮
0.0060281    1 sour           : 饐える
0.0059842    3 pot            : 餃子, 姫飯, 釜飯
0.0059409    2 pastry         : 餅餤, 餅腅
0.0057856    3 spoil          : 饐える, 食い荒す, 食い荒らす
